"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","IMA Mineral Symbol"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","CeAl3(AsO4)2(OH)6","Aflo-Ce"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","LaAl3(AsO4)2(OH)6","Aflo-La"
"Arsenogorceixite","Arsenogorceixite","BaAl3(AsO4)(AsO3OH)(OH)6","Agcx"
"Arsenogoyazite","Arsenogoyazite","SrAl3(AsO4)(AsO3OH)(OH)6","Agoy"
"Arsenohauchecornite","Arsenohauchecornite","Ni18Bi3AsS16","Ahau"
"Arsenohopeite","Arsenohopeite","Zn3(AsO4)2·4H2O","Ahop"
"Arsenolamprite","Arsenolamprite","As","Asl"
"Arsenolite","Arsenolite","As2O3","Aso"
"Arsenopalladinite","Arsenopalladinite","Pd8As3","Apdn"
"Arsenopyrite","Arsenopyrite","FeAsS","Apy"
"Arsenotučekite","Arsenotucekite","Ni18Sb3AsS16","Atuč"
"Arsenovanmeersscheite","Arsenovanmeersscheite","U(UO2)3(AsO4)2(OH)6·4H2O","Avms"
"Arsenowagnerite","Arsenowagnerite","Mg2(AsO4)F","Awag"
"Arsenquatrandorite","Arsenquatrandorite","Ag17.6Pb12.8Sb38.1As11.5S96","Aado"
"Arsentsumebite","Arsentsumebite","Pb2Cu(AsO4)(SO4)(OH)","Atsu"
"Arsenudinaite","Arsenudinaite","NaMg4(AsO4)3","Audn"
"Arsenuranospathite","Arsenuranospathite","Al(UO2)2(AsO4)2F·20H2O","Aush"
"Arsenuranylite","Arsenuranylite","Ca(UO2)4(AsO4)2(OH)4·6H2O","Auy"
"Arsiccioite","Arsiccioite","AgHg2TlAs2S6","Asi"
"Arsmirandite","Arsmirandite","Na18Cu12Fe3+O8(AsO4)8Cl5","Asm"
"Arthurite","Arthurite","CuFe3+2(AsO4)2(OH)2·4H2O","Atu"
"Artinite","Artinite","Mg2(CO3)(OH)2·3H2O","Art"
"Artroeite","Artroeite","PbAlF3(OH)2","Ate"
"Artsmithite","Artsmithite","Hg1+4Al(PO4)1.74(OH)1.78","Ash"
"Arupite","Arupite","Ni3(PO4)2·8H2O","Arp"
"Arzrunite","Arzrunite","Pb2Cu4(SO4)(OH)4Cl6·2H2O","Arz"
"Asbecasite","Asbecasite","Ca3TiAs6Be2Si2O20","Abc"
"Asbolane","Asbolane","Mn4+(O,OH)2·(Co,Ni,Mg,Ca)x(OH)2x·nH2O","Asb"
"Aschamalmite","Aschamalmite","Pb6-3xBi2+xS9","Ahm"
"Ashburtonite","Ashburtonite","HCu4Pb4Si4O12(HCO3)4(OH)4Cl","Ahb"
"Ashcroftine-(Y)","Ashcroftine-(Y)","K5Na5Y12Si28O70(OH)2(CO3)8·8H2O","Acf-Y"
"Ashoverite","Ashoverite","Zn(OH)2","Aov"
