"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","IMA Mineral Symbol"
"Malhmoodite","Malhmoodite","Fe2+Zr(PO4)2·4H2O","Mmo"
"Malinkoite","Malinkoite","NaBSiO4","Mlk"
"Malladrite","Malladrite","Na2SiF6","Mld"
"Mallardite","Mallardite","Mn(SO4)·7H2O","Mal"
"Mallestigite","Mallestigite","Pb3Sb(SO4)(AsO4)(OH)6·3H2O","Mlg"
"Malyshevite","Malyshevite","PdCuBiS3","Mys"
"Mambertiite","Mambertiite","BiMo5+2.8O8(OH)","Mam"
"Mammothite","Mammothite","Pb6Cu4AlSb5+O2(SO4)2Cl4(OH)16","Mm"
"Manaevite-(Ce)","Manaevite-(Ce)","Ca11(Ce,H2O,Ca)8Mg(Al,Fe)4(Mg,Ti,Fe3+)8[Si2O7]4[(SiO4)8(H4O4)2](OH)9","Mv-Ce"
"Manaksite","Manaksite","KNaMn2+Si4O10","Mnk"
"Manandonite","Manandonite","Li2Al4(Si2AlB)O10(OH)8","Mnd"
"Mandarinoite","Mandarinoite","Fe3+2(Se4+O3)3·6H2O","Mda"
"Maneckiite","Maneckiite","(Na[box])Ca2Fe2+2(Fe3+Mg)Mn2(PO4)6·2H2O","Mnc"
"Manganarsite","Manganarsite","Mn2+3As3+2O4(OH)4","Mna"
"Manganbabingtonite","Manganbabingtonite","Ca2Mn2+Fe3+Si5O14(OH)","Mbab"
"Manganbelyankinite","Manganbelyankinite","Mn2+(Ti,Nb)5O12·9H2O","Mbyn"
"Manganberzeliite","Manganberzeliite","(NaCa2)Mn2+2(AsO4)3","Mbzl"
"Manganflurlite","Manganflurlite","ZnMn2+3Fe3+(PO4)3(OH)2(H2O)7·2H2O","Mflu"
"Mangangordonite","Mangangordonite","Mn2+Al2(PO4)2(OH)2·8H2O","Mgdo"
"Manganhumite","Manganhumite","Mn2+7(SiO4)3(OH)2","Mnhu"
"Manganiakasakaite-(La)","Manganiakasakaite-(La)","CaLa(Mn3+AlMn2+)(Si2O7)(SiO4)O(OH)","Mnak-La"
"Manganiandrosite-(Ce)","Manganiandrosite-(Ce)","MnCe(Mn3+AlMn2+)[Si2O7][SiO4]O(OH)","Mna-Ce"
"Manganiandrosite-(La)","Manganiandrosite-(La)","MnLa(Mn3+AlMn2+)[Si2O7][SiO4]O(OH)","Mna-La"
"Manganiceladonite","Manganiceladonite","KMgMn3+Si4O10(OH)2","Mcel"
"Mangani-dellaventuraite","Mangani-dellaventuraite","NaNa2(MgMn3+2Ti4+Li)Si8O22O2","Mdv"
"Manganilvaite","Manganilvaite","CaFe2+Fe3+Mn2+(Si2O7)O(OH)","Mlv"
"Mangani-obertiite","Mangani-obertiite","NaNa2(Mg3Mn3+Ti4+)Si8O22O2","Mob"
"Mangani-pargasite","Mangani-pargasite","NaCa2(Mg4Mn3+)(Si6Al2)O22(OH)2","Mprg"
"Manganite","Manganite","Mn3+O(OH)","Mnn"
"Manganlotharmeyerite","Manganlotharmeyerite","CaMn3+2(AsO4)2(OH)2","Mlmy"
"Manganoarrojadite-(KNa)","Manganoarrojadite-(KNa)","KNa5MnFe13Al(PO4)11(PO3OH)(OH)2","Majd-KNa"
"Manganobadalovite","Manganobadalovite","NaNaMn(MgFe3+)(AsO4)3","Mbdl"
"Manganoblödite","Manganoblodite","Na2Mn(SO4)2·4H2O","Mblö"
"Manganochromite","Manganochromite","Mn2+Cr2O4","Mnchr"
"Manganoeudialyte","Manganoeudialyte","Na14Ca6Mn3Zr3[Si26O72(OH)2](H2O,Cl,O,OH)6","Meud"
"Mangano-ferri-eckermannite","Mangano-ferri-eckermannite","NaNa2(Mn2+4Fe3+)Si8O22(OH)2","Mfeck"
"Manganohörnesite","Manganohornesite","Mn2+3(AsO4)2·8H2O","Mhns"
"Manganokaskasite","Manganokaskasite","(Mo,Nb)S2·(Mn1-xAlx)(OH)2+x","Mkks"
"Manganokhomyakovite","Manganokhomyakovite","Na12Sr3Ca6Mn3Zr3W(Si25O73)(O,OH,H2O)3(Cl,OH)2","Mkmy"
"Manganokukisvumite","Manganokukisvumite","Na6MnTi4Si8O28·4H2O","Mkki"
"Manganolangbeinite","Manganolangbeinite","K2Mn2+2(SO4)3","Mlgb"
"Mangano-mangani-ungarettiite","Mangano-mangani-ungarettiite","NaNa2(Mn2+2Mn3+3)Si8O22O2","Mmu"
"Manganonaujakasite","Manganonaujakasite","Na6Mn2+Al4Si8O26","Mnj"
"Manganoneptunite","Manganoneptunite","KNa2LiMn2+2Ti2Si8O24","Mnnpt"
"Manganonordite-(Ce)","Manganonordite-(Ce)","Na3SrCeMn2+Si6O17","Mnor-Ce"
"Manganoquadratite","Manganoquadratite","AgMnAsS3","Mqd"
"Manganosegelerite","Manganosegelerite","Mn2+2Fe3+(PO4)2(OH)·4H2O","Msgl"
"Manganosite","Manganosite","MnO","Mng"
"Manganostibite","Manganostibite","Mn2+7Sb5+As5+O12","Mnsb"
"Manganotychite","Manganotychite","Na6Mn2+2(CO3)4(SO4)","Mtyc"
"Manganvesuvianite","Manganvesuvianite","Ca19Mn3+Al10Mg2(SiO4)10(Si2O7)4O(OH)9","Mnves"
"Mangazeite","Mangazeite","Al2(SO4)(OH)4·3H2O","Mgz"
"Manitobaite","Manitobaite","Na16Mn2+25Al8(PO4)30","Mtb"
"Manjiroite","Manjiroite","Na(Mn4+7Mn3+)O16","Mji"
"Mannardite","Mannardite","Ba(Ti6V3+2)O16","Man"
"Mansfieldite","Mansfieldite","Al(AsO4)·2H2O","Mfd"
"Mantienneite","Mantienneite","KMg2Al2Ti(PO4)4(OH)3·15H2O","Mtin"
"Maohokite","Maohokite","MgFe2O4","Mhk"
"Maoniupingite-(Ce)","Maoniupingite-(Ce)","(Ce,Ca)4(Fe3+,Ti,Fe2+,[box])(Ti,Fe3+,Fe2+,Nb)4Si4O22","Mao-Ce"
"Mapimite","Mapimite","Zn2Fe3+3(AsO4)3(OH)4·10H2O","Mpm"
"Mapiquiroite","Mapiquiroite","(Sr,Pb)(U,Y)Fe2(Ti,Fe3+)18O38","Mpq"
"Marathonite","Marathonite","Pd25Ge9","Mth"
"Marcasite","Marcasite","FeS2","Mrc"
"Marchettiite","Marchettiite","C5H7N5O3","Mht"
"Marcobaldiite","Marcobaldiite","Pb12(Sb3As2Bi)Σ6S21","Mcb"
"Marécottite","Marecottite","Mg3O6(UO2)8(SO4)4(OH)2·28H2O","Mco"
"Margaritasite","Margaritasite","Cs2(UO2)2(VO4)2·H2O","Mgt"
"Margarite","Margarite","CaAl2Si2Al2O10(OH)2","Mrg"
"Margarosanite","Margarosanite","Ca2PbSi3O9","Mga"
"Marialite","Marialite","Na4Al3Si9O24Cl","Mar"
"Marićite","Maricite","NaFe2+(PO4)","Mrć"
"Maricopaite","Maricopaite","Ca2Pb7(Si36Al12)O99·n(H2O,OH)","Mrp"
"Mariinskite","Mariinskite","BeCr2O4","Mii"
"Marinaite","Marinaite","Cu2Fe3+O2(BO3)","Mr"
"Marinellite","Marinellite","Na42Ca6Al36Si36O144(SO4)8Cl2·6H2O","Mrn"
"Markascherite","Markascherite","Cu3(MoO4)(OH)4","Mac"
"Markcooperite","Markcooperite","Pb2(UO2)TeO6","Mcp"
"Markeyite","Markeyite","Ca9(UO2)4(CO3)13·28H2O","Mk"
"Markhininite","Markhininite","TlBi(SO4)2","Mkh"
"Marklite","Marklite","Cu5(CO3)2(OH)6·6H2O","Mkl"
"Marokite","Marokite","CaMn3+2O4","Mro"
"Marrite","Marrite","AgPbAsS3","Mrr"
"Marrucciite","Marrucciite","Hg3Pb16Sb18S46","Mru"
"Marshite","Marshite","CuI","Msh"
"Marsturite","Marsturite","NaCaMn2+3Si5O14(OH)","Msr"
"Marthozite","Marthozite","Cu2+(UO2)3(Se4+O3)2O2·8H2O","Mhz"
"Martinandresite","Martinandresite","Ba2(Al4Si12O32)·10H2O","Mad"
"Martinite","Martinite","(Na,[box],Ca)12Ca4(Si,S,B)14B2O38(OH,Cl)2F2·4H2O","Mrt"
"Martyite","Martyite","Zn3V2O7(OH)2·2H2O","Myi"
"Marumoite","Marumoite","Pb32As40S92","Mrm"
"Maruyamaite","Maruyamaite","K(MgAl2)(Al5Mg)(BO3)3(Si6O18)(OH)3O","Mry"
"Mascagnite","Mascagnite","(NH4)2(SO4)","Msc"
"Maslovite","Maslovite","PtBiTe","Mlo"
"Massicot","Massicot","PbO","Msi"
"Masutomilite","Masutomilite","KLiAlMn2+(Si3Al)O10(F,OH)2","Msu"
"Masuyite","Masuyite","Pb(UO2)3O3(OH)2·3H2O","Msy"
"Mathesiusite","Mathesiusite","K5(UO2)4(SO4)4(VO5)(H2O)4","Mhe"
"Mathewrogersite","Mathewrogersite","Pb7FeAl3GeSi12O36(OH,H2O)6","Mwg"
"Mathiasite","Mathiasite","(K,Ba,Sr)(Zr,Fe)(Mg,Fe)2(Ti,Cr,Fe)18O38","Mts"
"Matildite","Matildite","AgBiS2","Mtd"
"Matioliite","Matioliite","NaMgAl5(PO4)4(OH)6·2H2O","Mti"
"Matlockite","Matlockite","PbClF","Mtl"
"Matsubaraite","Matsubaraite","Sr4Ti5O8(Si2O7)2","Mbr"
"Mattagamite","Mattagamite","CoTe2","Mtg"
"Matteuccite","Matteuccite","NaH(SO4)·H2O","Mtt"
"Mattheddleite","Mattheddleite","Pb5(SiO4)1.5(SO4)1.5Cl","Mhd"
"Matulaite","Matulaite","Fe3+Al7(PO4)4(PO3OH)2(OH)8(H2O)8·8H2O","Mat"
"Matyhite","Matyhite","Ca9(Ca0.5[box]0.5)Fe2+(PO4)7","Myh"
"Maucherite","Maucherite","Ni11As8","Muc"
"Mauriziodiniite","Mauriziodiniite","(NH4)(As2O3)2I","Mzd"
"Mavlyanovite","Mavlyanovite","Mn5Si3","Mav"
"Mawbyite","Mawbyite","PbFe3+2(AsO4)2(OH)2","Mby"
"Mawsonite","Mawsonite","Cu6Fe2SnS8","Maw"
"Maxwellite","Maxwellite","NaFe3+(AsO4)F","Max"
"Mayingite","Mayingite","IrBiTe","Myg"
"Mazzettiite","Mazzettiite","Ag3HgPbSbTe5","Mzt"
"Mazzite-Mg","Mazzite-Mg","Mg5(Si26Al10)O72·30H2O","Maz-Mg"
"Mazzite-Na","Mazzite-Na","Na8(Si28Al8)O72·30H2O","Maz-Na"
"Mbobomkulite","Mbobomkulite","(Ni,Cu)Al4(NO3,SO4)2(OH)12·3H2O","Mbb"
"Mcallisterite","Mcallisterite","Mg2[B6O7(OH)6]2·9H2O","Mcl"
"Mcalpineite","Mcalpineite","Cu3Te6+O6","Map"
"Mcauslanite","Mcauslanite","Fe2+3Al2(PO4)3(PO3OH)F·18H2O","Mas"
"Mcbirneyite","Mcbirneyite","Cu3(VO4)2","Mbn"
"Mcconnellite","Mcconnellite","Cu1+CrO2","Mcn"
"Mccrillisite","Mccrillisite","NaCs(Be,Li)Zr2(PO4)4·1-2H2O","Mcr"
"Mcgillite","Mcgillite","Mn2+8Si6O15(OH)8Cl2","Mcg"
"Mcgovernite","Mcgovernite","Zn3(Mn2+,Mg,Fe3+,Al)42(As3+O3)2(As5+O4)4[(Si,As5+)O4]8(OH)42","Mgv"
"Mcguinnessite","Mcguinnessite","CuMg(CO3)(OH)2","Mgu"
"Mckelveyite-(Y)","Mckelveyite-(Y)","NaBa3(Ca,U)Y(CO3)6·3H2O","Mkv-Y"
"Mckinstryite","Mckinstryite","Ag5Cu3S4","Mck"
"Mcnearite","Mcnearite","NaCa5(AsO4)(AsO3OH)4·4H2O","Mnr"
"Medaite","Medaite","Mn2+6V5+Si5O18(OH)","Med"
"Medenbachite","Medenbachite","Bi2Fe3+Cu2+(AsO4)2O(OH)3","Mdb"
"Meerschautite","Meerschautite","(Ag,Cu)5.5Pb42.4(Sb,As)45.1S112O0.8","Mee"
"Megacyclite","Megacyclite","KNa8Si9O18(OH)9·19H2O","Mgc"
"Megakalsilite","Megakalsilite","KAlSiO4","Mks"
"Megawite","Megawite","CaSnO3","Mgw"
"Meieranite","Meieranite","Na2Sr3MgSi6O17","Mei"
"Meierite","Meierite","Ba44Si66Al30O192Cl25(OH)33","Mir"
"Meifuite","Meifuite","KFe6(Si7Al)O19(OH)4Cl2","Mf"
"Meionite","Meionite","Ca4Al6Si6O24(CO3)","Me"
"Meisserite","Meisserite","Na5(UO2)(SO4)3(SO3OH)(H2O)","Mss"
"Meitnerite","Meitnerite","(NH4)(UO2)(SO4)(OH)·2H2O","Mne"
"Meixnerite","Meixnerite","Mg6Al2(OH)16(OH)2·4H2O","Mxn"
"Mejillonesite","Mejillonesite","NaMg2(PO3OH)(PO4)(OH)·H5O2","Mej"
"Melanarsite","Melanarsite","K3Cu7Fe3+O4(AsO4)4","Mea"
"Melanocerite-(Ce)","Melanocerite-(Ce)","Ce5(SiO4,BO4)3(OH,O)","Mcrt-Ce"
"Melanophlogite","Melanophlogite","C2H17O5·Si46O92","Mp"
"Melanostibite","Melanostibite","Mn2+(Sb5+,Fe3+)O3","Mlsb"
"Melanotekite","Melanotekite","Pb2Fe3+2O2(Si2O7)","Mtk"
"Melanothallite","Melanothallite","Cu2OCl2","Mlth"
"Melanovanadite","Melanovanadite","Ca(V5+,V4+)4O10·5H2O","Mvd"
"Melansonite","Melansonite","Na[box]KZrSi8O19·5H2O","Mso"
"Melanterite","Melanterite","Fe(SO4)·7H2O","Mln"
"Melcherite","Melcherite","Ba2Na2Mg[Nb6O19]·6H2O","Mlh"
"Meliphanite","Meliphanite","Ca4(Na,Ca)4Be4AlSi7O24(F,O)4","Mph"
"Melkovite","Melkovite","CaFe3+2Mo5O10(PO4)2(OH)12·8H2O","Mko"
"Melliniite","Melliniite","(Ni,Fe)4P","Mli"
"Mellite","Mellite","Al2C6(COO)6·16H2O","Mel"
"Mellizinkalite","Mellizinkalite","K3Zn2Cl7","Mzk"
"Melonite","Melonite","NiTe2","Mlt"
"Mélonjosephite","Melonjosephite","CaFe2+Fe3+(PO4)2(OH)","Mjo"
"Menchettiite","Menchettiite","Pb5Mn3Ag2Sb6As4S24","Men"
"Mendeleevite-(Ce)","Mendeleevite-(Ce)","Cs6(Ce,REE,Ca)30(Si70O175)(OH,F,H2O)35","Mdl-Ce"
"Mendeleevite-(Nd)","Mendeleevite-(Nd)","Cs6(Nd,REE,Ca)30(Si70O175)(OH,F,H2O)35","Mdl-Nd"
"Mendigite","Mendigite","Mn2Mn2MnCa(Si3O9)2","Mdg"
"Mendipite","Mendipite","Pb3O2Cl2","Mdi"
"Mendozavilite-KCa","Mendozavilite-KCa","[K2(H2O)15Ca(H2O)6][Mo8P2Fe3+3O34(OH)3]","Mdz-KCa"
"Mendozavilite-NaCu","Mendozavilite-NaCu","[Na2(H2O)15Cu(H2O)6][Mo8P2Fe3+3O34(OH)3]","Mdz-NaCu"
"Mendozavilite-NaFe","Mendozavilite-NaFe","[Na2(H2O)15Fe3+(H2O)6][Mo8P2Fe3+3O35(OH)2]","Mdz-NaFe"
"Mendozite","Mendozite","NaAl(SO4)2·11H2O","Mz"
"Meneghinite","Meneghinite","Pb13CuSb7S24","Meg"
"Menezesite","Menezesite","Ba3MgZr4Nb12O42·12H2O","Mze"
"Mengeite","Mengeite","Ba(Mg,Mn2+)Mn3+4(PO4)4(OH)4·4H2O","Mge"
"Mengxianminite","Mengxianminite","Ca2Sn2Mg3Al8[(BO3)(BeO4)O6]2","Mgx"
"Meniaylovite","Meniaylovite","Ca4AlSi(SO4)F13·12H2O","Myl"
"Menshikovite","Menshikovite","Pd3Ni2As3","Mnv"
"Menzerite-(Y)","Menzerite-(Y)","(CaY2)Mg2(SiO4)3","Mzr-Y"
"Mercallite","Mercallite","KH(SO4)","Mec"
"Mercury","Mercury","Hg","Hg"
"Mereheadite","Mereheadite","Pb47O24(OH)13Cl25(BO3)2(CO3)","Mrh"
"Mereiterite","Mereiterite","K2Fe2+(SO4)2·4H2O","Mtr"
"Merelaniite","Merelaniite","Pb4Mo4VSbS15","Ml"
"Merenskyite","Merenskyite","PdTe2","Mrk"
"Meridianiite","Meridianiite","Mg(SO4)·11H2O","Mdn"
"Merlinoite","Merlinoite","K5Ca2(Si23Al9)O64·24H2O","Mrl"
"Merrihueite","Merrihueite","(K,Na)2(Fe2+,Mg)5Si12O30","Mhu"
"Merrillite","Merrillite","Ca9NaMg(PO4)7","Mer"
"Mertieite-I","Mertieite-I","Pd5+x(Sb,As)2-x (x = 0.1-0.2)","Met-I"
"Mertieite-II","Mertieite-II","Pd8Sb2.5As0.5","Met-II"
"Merwinite","Merwinite","Ca3Mg(SiO4)2","Mw"
"Mesaite","Mesaite","CaMn2+5(V2O7)3·12H2O","Msa"
"Mesolite","Mesolite","Na2Ca2(Si9Al6)O30·8H2O","Mes"
"Messelite","Messelite","Ca2Fe2+(PO4)2·2H2O","Msl"
"Meta-aluminite","Meta-aluminite","Al2(SO4)(OH)4·5H2O","Ma"
"Meta-alunogen","Meta-alunogen","Al2(SO4)3·14H2O","Malg"
"Meta-ankoleite","Meta-ankoleite","K(UO2)(PO4)·3H2O","Mak"
"Meta-autunite","Meta-autunite","Ca(UO2)2(PO4)2·6H2O","Maut"
"Metaborite","Metaborite","HBO2","Mbo"
"Metacalciouranoite","Metacalciouranoite","(Ca,Na,Ba)U2O7·2H2O","Mcu"
"Metacinnabar","Metacinnabar","HgS","Mcin"
"Metadelrioite","Metadelrioite","SrCa(VO3)2(OH)2","Mdlr"
"Metahaiweeite","Metahaiweeite","Ca(UO2)2Si6O15·nH2O","Mhwe"
"Metaheinrichite","Metaheinrichite","Ba(UO2)2(AsO4)2·8H2O","Mhrc"
"Metahewettite","Metahewettite","CaV5+6O16·3H2O","Mhew"
"Metahohmannite","Metahohmannite","Fe3+2O(SO4)2·4H2O","Mhoh"
"Metakahlerite","Metakahlerite","Fe2+(UO2)2(AsO4)2·8H2O","Mkah"
"Metakirchheimerite","Metakirchheimerite","Co(UO2)2(AsO4)2·8H2O","Mki"
"Metaköttigite","Metakottigite","(Zn,Fe3+)3(AsO4)2·8(H2O,OH)","Mköt"
"Metalodèvite","Metalodevite","Zn(UO2)2(AsO4)2·10H2O","Mldv"
"Metamunirite","Metamunirite","NaV5+O3","Mmni"
"Metanatroautunite","Metanatroautunite","Na(UO2)(PO4)·3H2O","Mnaut"
"Metanováčekite","Metanovacekite","Mg(UO2)2(AsO4)2·8H2O","Mnvč"
"Metarauchite","Metarauchite","Ni(UO2)2(AsO4)2·8H2O","Mrau"
"Metarossite","Metarossite","CaV5+2O6·2H2O","Mrs"
"Metasaléeite","Metasaleeite","Mg(UO2)2(PO4)2·8H2O","Mslé"
"Metaschoderite","Metaschoderite","Al(PO4)·3H2O","Msdr"
"Metaschoepite","Metaschoepite","(UO2)8O2(OH)12·10H2O","Mshp"
"Metasideronatrite","Metasideronatrite","Na2Fe3+(SO4)2(OH)·H2O","Mnat"
"Metastibnite","Metastibnite","Sb2S3","Msbn"
"Metastudtite","Metastudtite","UO4·2H2O","Mstu"
"Metaswitzerite","Metaswitzerite","Mn2+3(PO4)2·4H2O","Msw"
"Metatamboite","Metatamboite","Fe3+3(OH)(H2O)2(SO4)(Te4+O3)3[Te4+O(OH)2](H2O)","Mtm"
"Metathénardite","Metathenardite","Na2(SO4)","Mthn"
"Metatorbernite","Metatorbernite","Cu(UO2)2(PO4)2·8H2O","Mtor"
"Metatyuyamunite","Metatyuyamunite","Ca(UO2)2(VO4)2·3H2O","Mtyu"
"Metauramphite","Metauramphite","(NH4)2(UO2)2(PO4)2·6H2O","Murp"
"Metauranocircite-I","Metauranocircite-I","Ba(UO2)2(PO4)2·6H2O","Murc-I"
"Metauranopilite","Metauranopilite","(UO2)6(SO4)(OH)10·5H2O","Mup"
"Metauranospinite","Metauranospinite","Ca(UO2)2(AsO4)2·8H2O","Musp"
"Metauroxite","Metauroxite","(UO2)2(C2O4)(OH)2(H2O)2","Murx"
"Metavandendriesscheite","Metavandendriesscheite","PbU7O22·nH2O","Mvdd"
"Metavanmeersscheite","Metavanmeersscheite","U(UO2)3(PO4)2(OH)6·2H2O","Mvms"
"Metavanuralite","Metavanuralite","Al(UO2)2(VO4)2(OH)·8H2O","Mvnr"
"Metavariscite","Metavariscite","Al(PO4)·2H2O","Mvar"
"Metavauxite","Metavauxite","Fe2+Al2(PO4)2(OH)2·8H2O","Mvx"
"Metavivianite","Metavivianite","Fe2+Fe3+2(PO4)2(OH)2·6H2O","Mviv"
"Metavoltine","Metavoltine","K2Na6Fe2+Fe3+6O2(SO4)12·18H2O","Mvt"
"Metazellerite","Metazellerite","Ca(UO2)(CO3)2·3H2O","Mzel"
"Metazeunerite","Metazeunerite","Cu(UO2)2(AsO4)2·8H2O","Mzeu"
"Meurigite-K","Meurigite-K","KFe3+8(PO4)6(OH)7·6.5H2O","Meu-K"
"Meurigite-Na","Meurigite-Na","[Na(H2O)2.5][Fe3+8(PO4)6(OH)7(H2O)4]","Meu-Na"
"Meyerhofferite","Meyerhofferite","CaB3O3(OH)5·H2O","Mhf"
"Meymacite","Meymacite","WO3·2H2O","Mym"
"Meyrowitzite","Meyrowitzite","Ca(UO2)(CO3)2·5H2O","Mey"
"Mgriite","Mgriite","Cu3AsSe3","Mgi"
"Mianningite","Mianningite","([box],Pb,Ce,Na)(U4+,Mn,U6+)Fe3+2(Ti,Fe3+)18O38","Min"
"Miargyrite","Miargyrite","AgSbS2","May"
"Miassite","Miassite","Rh17S15","Mia"
"Michalskiite","Michalskiite","Fe3+1.33Cu2+2(MgFe3+)2(VO4)6","Mcs"
"Micheelsenite","Micheelsenite","(Ca,Y)3Al(PO3OH)(CO3)(OH)6·12H2O","Msn"
"Michenerite","Michenerite","PdBiTe","Mch"
"Michitoshiite-(Cu)","Michitoshiite-(Cu)","Rh(Cu1-xGex) 0<x≤0.5","Mhs-Cu"
"Microcline","Microcline","K(AlSi3O8)","Mcc"
"Microsommite","Microsommite","[(Na,K)6(SO4)][Ca2Cl2][(Si6Al6O24)]","Msm"
"Middendorfite","Middendorfite","K3Na2Mn5Si12(O,OH)36·2H2O","Mdd"
"Middlebackite","Middlebackite","Cu2C2O4(OH)2","Mbk"
"Mieite-(Y)","Mieite-(Y)","Y4Ti(SiO4)2O[F,(OH)]6","Mi-Y"
"Miersite","Miersite","AgI","Mier"
"Miessiite","Miessiite","Pd11Te2Se2","Mie"
"Miguelromeroite","Miguelromeroite","Mn5(AsO3OH)2(AsO4)2(H2O)4","Mig"
"Miharaite","Miharaite","PbCu4FeBiS6","Mih"
"Mikasaite","Mikasaite","Fe3+2(SO4)3","Mik"
"Mikehowardite","Mikehowardite","Fe3+4(V5+O4)4(H2O)2·H2O","Mhw"
"Milanriederite","Milanriederite","(Ca,REE)19Fe3+Al4(Mg,Al,Fe3+)8Si18O68(OH,O)10","Mlrd"
"Milarite","Milarite","KCa2(Be2AlSi12)O30·H2O","Mil"
"Milkovoite","Milkovoite","Cu4O(PO4)(AsO4)",""
"Millerite","Millerite","NiS","Mlr"
"Millisite","Millisite","NaCaAl6(PO4)4(OH)9·3H2O","Mill"
"Millosevichite","Millosevichite","Al2(SO4)3","Msv"
"Millsite","Millsite","CuTeO3·2H2O","Mls"
"Milotaite","Milotaite","PdSbSe","Mio"
"Mimetite","Mimetite","Pb5(AsO4)3Cl","Mim"
"Minakawaite","Minakawaite","RhSb","Mka"
"Minasgeraisite-(Y)","Minasgeraisite-(Y)","CaBe2Y2Si2O10","Mgr-Y"
"Minasragrite","Minasragrite","V4+O(SO4)·5H2O","Mra"
"Mineevite-(Y)","Mineevite-(Y)","Na25BaY2(CO3)11(HCO3)4(SO4)2F2Cl","Mev-Y"
"Minehillite","Minehillite","(K,Na)2Ca28Zn5Al4Si40O112(OH)16","Mhl"
"Minguzzite","Minguzzite","K3Fe3+(C2O4)3·3H2O","Mzz"
"Minium","Minium","Pb2+2Pb4+O4","Mnm"
"Minjiangite","Minjiangite","BaBe2(PO4)2","Mjg"
"Minnesotaite","Minnesotaite","Fe2+3Si4O10(OH)2","Mns"
"Minohlite","Minohlite","(Cu,Zn)7(SO4)2(OH)10·8H2O","Mnh"
"Minrecordite","Minrecordite","CaZn(CO3)2","Mrd"
"Minyulite","Minyulite","KAl2(PO4)2F·4H2O","Myu"
"Mirabilite","Mirabilite","Na2(SO4)·10H2O","Mrb"
"Mirnyite","Mirnyite","SrZr4+(Ti4+12Cr3+6)Mg2O38","Mny"
"Misakiite","Misakiite","Cu3Mn(OH)6Cl2","Msk"
"Misenite","Misenite","K8(SO4)(SO3OH)6","Mse"
"Miserite","Miserite","K1.5-x(Ca,Y,REE)5[Si6O15][Si2O7](OH,F)2·yH2O","Mis"
"Mitridatite","Mitridatite","Ca2Fe3+3O2(PO4)3·3H2O","Mit"
"Mitrofanovite","Mitrofanovite","Pt3Te4","Mfv"
"Mitryaevaite","Mitryaevaite","Al5(PO4)2[(P,S)O3(OH,O)]2F2(OH)2·14.5H2O","Myv"
"Mitscherlichite","Mitscherlichite","K2CuCl4·2H2O","Mits"
"Mixite","Mixite","Cu6Bi(AsO4)3(OH)6·3H2O","Mix"
"Miyahisaite","Miyahisaite","(Sr,Ca)2Ba3(PO4)3F","Miy"
"Moabite","Moabite","NiFe3+(PO4)O","Mab"
"Moctezumite","Moctezumite","Pb(UO2)(Te4+O3)2","Moc"
"Modderite","Modderite","CoAs","Mod"
"Moëloite","Moeloite","Pb6Sb6S14(S)3","Moë"
"Mogánite","Moganite","SiO2·<i>n</i>H2O","Mog"
"Mogovidite","Mogovidite","Na9(Ca,Na)12Fe2Zr3Si25O72(CO3)(OH)4","Mgo"
"Mohite","Mohite","Cu2SnS3","Moh"
"Möhnite","Mohnite","(NH4)K2Na(SO4)2","Möh"
"Mohrite","Mohrite","(NH4)2Fe2+(SO4)2·6H2O","Mhr"
"Moissanite","Moissanite","SiC","Moi"
"Mojaveite","Mojaveite","Cu6[Te6+O4(OH)2](OH)7Cl","Moj"
"Molinelloite","Molinelloite","Cu(H2O)(OH)V4+O(V5+O4)","Mnl"
"Moluranite","Moluranite","H4U4+(UO2)3(MoO4)7·18H2O","Mlu"
"Molybdenite","Molybdenite","MoS2","Mol"
"Molybdite","Molybdite","MoO3","Myb"
"Molybdofornacite","Molybdofornacite","CuPb2(MoO4)(AsO4)(OH)","Mfor"
"Molybdomenite","Molybdomenite","PbSe4+O3","Mdm"
"Molybdophyllite","Molybdophyllite","Pb8Mg9[Si10O28(OH)8O2(CO3)3]·H2O","Mdp"
"Molysite","Molysite","FeCl3","My"
"Momoiite","Momoiite","Mn2+3V3+2(SiO4)3","Mom"
"Monazite-(Ce)","Monazite-(Ce)","Ce(PO4)","Mnz-Ce"
"Monazite-(La)","Monazite-(La)","La(PO4)","Mnz-La"
"Monazite-(Nd)","Monazite-(Nd)","Nd(PO4)","Mnz-Nd"
"Monazite-(Sm)","Monazite-(Sm)","Sm(PO4)","Mnz-Sm"
"Moncheite","Moncheite","Pt(Te,Bi)2","Mon"
"Monchetundraite","Monchetundraite","Pd2NiTe2","Mtdr"
"Monetite","Monetite","Ca(PO3OH)","Mnti"
"Mongolite","Mongolite","Ca4Nb6Si5O24(OH)10·6H2O","Mgl"
"Monimolite","Monimolite","Pb2Sb5+2O7","Mml"
"Monipite","Monipite","MoNiP","Mnp"
"Monohydrocalcite","Monohydrocalcite","Ca(CO3)·H2O","Mhcal"
"Montanite","Montanite","Bi3+2Te6+O6·2H2O","Mta"
"Montbrayite","Montbrayite","(Au,Ag,Sb,Bi,Pb)23(Te,Sb,Bi,Pb)38","Mnb"
"Montdorite","Montdorite","KFe2+1.5Mn2+0.5Mg0.5Si4O10(F,OH)2","Mdr"
"Montebrasite","Montebrasite","LiAl(PO4)(OH)","Mbs"
